Name,Salary,Field,Age,City
Sita,57072,Education,42,Kathmandu
Ram,115164,Finance,29,Bhaktapur
Prakash,59132,IT,37,Janakpur
Bikash,129769,Education,32,Biratnagar
Bikash,96931,Education,27,Kathmandu
Gita,96011,Business,22,Biratnagar
Sita,106499,Finance,46,Kathmandu
Roshan,84178,Engineer,59,Dharan
Hari,133411,IT,21,Chitwan
Manish,39476,Engineer,35,Pokhara
Nabin,78529,Engineer,33,Bhaktapur
Shyam,90592,Medicine,24,Janakpur
Ram,83483,Medicine,26,Bhaktapur
Hari,65236,Engineer,58,Dharan
Suresh,63573,Business,22,Butwal
Bikash,92340,Medicine,48,Kathmandu
Sabin,119991,Medicine,58,Lalitpur
Dipesh,91228,Medicine,23,Chitwan
Ram,69441,Medicine,35,Pokhara
Roshan,79682,IT,22,Kathmandu
Suresh,142270,Engineer,45,Bhaktapur
Roshan,62176,IT,48,Janakpur
Nabin,133980,Finance,34,Dharan
Bikash,44727,Finance,54,Biratnagar
Suman,148552,Education,33,Butwal
Manish,111422,Finance,23,Pokhara
Prakash,51300,IT,28,Nepalgunj
Ram,94946,Education,52,Pokhara
Ramesh,70196,Engineer,38,Janakpur
Nabin,50613,Finance,34,Lalitpur
Sunil,132199,Medicine,56,Dharan
Prakash,121652,Finance,40,Pokhara
Gita,73841,Business,56,Nepalgunj
Suresh,25720,Medicine,58,Nepalgunj
Sunil,61704,Medicine,40,Kathmandu
Sita,117609,Medicine,35,Dharan
Hari,81993,Education,39,Lalitpur
Bibek,112435,Finance,29,Bhaktapur
Sita,139725,Medicine,53,Chitwan
Aashish,126352,Education,34,Chitwan
Aashish,69968,Business,46,Biratnagar
Dipesh,70604,IT,39,Dharan
Prakash,149553,Business,37,Biratnagar
Shyam,106991,Engineer,23,Biratnagar
Suman,123860,Education,55,Butwal
Roshan,127577,Education,57,Chitwan
Sita,105461,Medicine,31,Bhaktapur
Bibek,148557,Business,60,Pokhara
Hari,39936,Finance,47,Bhaktapur
Roshan,84923,Engineer,55,Lalitpur
Anil,146461,Education,51,Nepalgunj
Dipesh,24852,Business,23,Pokhara
Aashish,36547,Medicine,42,Lalitpur
Manish,85836,Finance,44,Pokhara
Suresh,146530,Medicine,53,Lalitpur
Hari,97356,Engineer,40,Butwal
Shyam,63515,Business,46,Butwal
Bikash,133993,Medicine,46,Biratnagar
Anil,33154,Engineer,29,Dharan
Hari,134581,Education,39,Pokhara
Bikash,130761,Finance,44,Janakpur
Sita,77711,Business,31,Biratnagar
Bibek,33069,Business,54,Bhaktapur
Prakash,88937,Engineer,50,Butwal
Suman,139333,Business,35,Chitwan
Aashish,79890,Finance,34,Butwal
Ramesh,22011,Finance,39,Chitwan
Aashish,114692,Business,29,Pokhara
Aashish,38894,Medicine,49,Pokhara
Suresh,73736,Medicine,23,Lalitpur
Prakash,134154,Finance,55,Chitwan
Hari,105823,Medicine,46,Nepalgunj
Dipesh,147134,Engineer,46,Kathmandu
Ramesh,40232,IT,55,Bhaktapur
Roshan,29807,Education,53,Biratnagar
Bikash,81537,Business,28,Lalitpur
Ramesh,122436,Engineer,44,Pokhara
Suman,147035,Finance,35,Bhaktapur
Bibek,54737,IT,36,Biratnagar
Prakash,64375,Education,33,Dharan
Roshan,101691,Finance,41,Janakpur
Bikash,110794,IT,25,Kathmandu
Sunil,72098,Engineer,48,Chitwan
Shyam,105175,IT,43,Chitwan
Bikash,30527,Medicine,25,Lalitpur
Shyam,131642,Engineer,54,Kathmandu
Sunil,63065,Business,32,Dharan
Bibek,131718,Finance,23,Butwal
Prakash,108389,Medicine,37,Janakpur
Hari,132635,Business,44,Janakpur
Suresh,89942,IT,58,Bhaktapur
Manish,69808,Medicine,58,Pokhara
Sunil,145060,Business,22,Butwal
Suresh,61505,Engineer,24,Pokhara
Kiran,102155,IT,32,Lalitpur
Bibek,114203,Business,57,Pokhara
Suman,136318,IT,55,Kathmandu
Gita,119536,Business,33,Kathmandu
Prakash,83956,Finance,50,Bhaktapur
Gita,134344,Engineer,33,Lalitpur
Bikash,90912,Medicine,41,Bhaktapur
Roshan,24705,Business,39,Dharan
Roshan,100931,IT,20,Biratnagar
Prakash,28968,Engineer,33,Pokhara
Manish,50771,Medicine,32,Nepalgunj
Nabin,102727,IT,27,Nepalgunj
Manish,109705,Engineer,50,Chitwan
Bibek,140708,IT,35,Pokhara
Aashish,57667,Education,58,Kathmandu
Bikash,49817,Education,33,Pokhara
Gita,117880,Engineer,45,Bhaktapur
Sabin,31846,Medicine,35,Butwal
Kiran,76881,Medicine,55,Lalitpur
Hari,148232,IT,40,Pokhara
Shyam,32903,Engineer,38,Biratnagar
Sita,119663,Business,44,Pokhara
Gita,103066,Education,49,Kathmandu
Ramesh,112260,Medicine,54,Butwal
Nabin,134370,Education,42,Kathmandu
Dipesh,33173,Business,39,Lalitpur
Hari,78153,Business,36,Nepalgunj
Bibek,41805,Finance,43,Dharan
Bibek,110964,IT,52,Dharan
Dipesh,59251,IT,51,Butwal
Suman,138413,IT,49,Kathmandu
Sabin,23794,Engineer,26,Dharan
Prakash,26028,Medicine,50,Dharan
Roshan,62516,Medicine,40,Lalitpur
Ram,124352,Finance,33,Biratnagar
Sita,27355,Education,43,Bhaktapur
Roshan,58452,Finance,40,Lalitpur
Prakash,66984,Finance,46,Chitwan
Sunil,69131,Business,22,Chitwan
Sita,76450,IT,56,Butwal
Anil,39080,Engineer,34,Lalitpur
Nabin,52007,Medicine,29,Kathmandu
Ramesh,89621,Engineer,21,Nepalgunj
Suman,74008,IT,36,Nepalgunj
Ram,94177,IT,55,Nepalgunj
Prakash,109364,Medicine,57,Bhaktapur
Sabin,123877,Business,57,Chitwan
Ramesh,43600,Education,46,Butwal
Sabin,42280,Finance,38,Dharan
Sita,42946,Business,29,Janakpur
Anil,30350,IT,32,Butwal
Sabin,99887,IT,41,Kathmandu
Dipesh,134142,Business,34,Pokhara
Suresh,70140,Finance,44,Chitwan
Gita,101226,Finance,56,Dharan
Aashish,109539,IT,35,Lalitpur
Ramesh,51566,Education,51,Dharan
Roshan,85230,Finance,55,Bhaktapur
Sabin,139646,Finance,41,Janakpur
Ram,96435,Medicine,36,Bhaktapur
Dipesh,38758,Education,51,Janakpur
Sunil,50433,Medicine,51,Kathmandu
Kiran,80443,Engineer,49,Dharan
Ram,103611,Business,30,Biratnagar
Sita,53289,IT,42,Butwal
Aashish,80236,Finance,30,Janakpur
Anil,53466,Engineer,28,Butwal
Bikash,107404,Medicine,54,Biratnagar
Shyam,21231,Finance,51,Nepalgunj
Bikash,137821,Business,31,Janakpur
Manish,125464,Medicine,54,Biratnagar
Hari,80981,Education,23,Dharan
Hari,138123,Education,53,Chitwan
Kiran,57700,IT,22,Lalitpur
Hari,108815,Finance,24,Kathmandu
Roshan,91643,Engineer,23,Biratnagar
Gita,40706,IT,20,Nepalgunj
Gita,29681,Finance,46,Bhaktapur
Kiran,77898,Finance,28,Kathmandu
Roshan,143893,Finance,60,Chitwan
Ramesh,65293,Finance,34,Kathmandu
Prakash,149453,Finance,24,Butwal
Sabin,97014,IT,29,Janakpur
Dipesh,59210,Business,20,Biratnagar
Nabin,103746,Business,33,Nepalgunj
Suresh,146095,IT,52,Bhaktapur
Roshan,75615,Education,49,Lalitpur
Suresh,110480,Business,43,Pokhara
Anil,52780,Engineer,23,Bhaktapur
Bibek,79878,Engineer,59,Bhaktapur
Aashish,130795,Education,60,Chitwan
Suman,59599,IT,59,Janakpur
Sabin,46111,Engineer,50,Kathmandu
Suman,70422,IT,51,Bhaktapur
Sita,131848,Engineer,21,Nepalgunj
Bikash,83335,Medicine,20,Dharan
Bikash,33979,Education,54,Biratnagar
Hari,51091,Education,55,Lalitpur
Sunil,69986,Education,46,Lalitpur
Ram,94963,IT,20,Bhaktapur
Manish,67049,Finance,21,Nepalgunj
Roshan,95341,Education,53,Biratnagar
Bikash,58780,Engineer,37,Biratnagar
Manish,111655,Medicine,54,Nepalgunj
Bikash,58696,IT,38,Kathmandu
Ram,22875,Engineer,21,Biratnagar
Hari,148181,Finance,52,Nepalgunj
Shyam,128794,Engineer,47,Nepalgunj
Bikash,106275,Education,31,Lalitpur
Hari,71879,Medicine,26,Nepalgunj
Shyam,55976,Education,26,Bhaktapur
Sunil,21061,Business,53,Butwal
Hari,94177,Education,29,Janakpur
Sabin,133386,Business,35,Chitwan
Bikash,109889,Education,32,Lalitpur
Prakash,122014,Medicine,59,Butwal
Kiran,117605,Medicine,53,Kathmandu
Suresh,147612,IT,36,Pokhara
Roshan,26428,Education,42,Kathmandu
Gita,139356,Business,37,Bhaktapur
Manish,99482,IT,45,Nepalgunj
Manish,117671,Engineer,25,Bhaktapur
Kiran,85107,Medicine,43,Kathmandu
Bikash,129161,IT,45,Janakpur
Kiran,138509,Medicine,49,Butwal
Nabin,138349,IT,56,Kathmandu
Suresh,57512,Engineer,35,Biratnagar
Sita,121677,Engineer,34,Nepalgunj
Sita,124708,Finance,39,Bhaktapur
Nabin,50162,Business,25,Lalitpur
Aashish,99569,Finance,22,Biratnagar
Nabin,125110,Business,25,Lalitpur
Nabin,66179,Engineer,45,Biratnagar
Suman,48705,IT,44,Kathmandu
Shyam,103442,Education,44,Kathmandu
Sita,44920,Medicine,55,Lalitpur
Shyam,101381,Engineer,50,Nepalgunj
Bibek,52850,Engineer,23,Lalitpur
Sunil,108835,IT,60,Pokhara
Sita,119035,Education,20,Janakpur
Bikash,114493,Engineer,30,Biratnagar
Suresh,120593,Engineer,25,Pokhara
Suresh,106400,IT,51,Biratnagar
Roshan,109241,Engineer,47,Dharan
Suman,129882,Business,41,Nepalgunj
